hale,健壮的， 矍铄的
slit,撕裂。裂缝
reprisal,报复， 报复行动
polarize,两极化， 截然对立
etch,蚀刻； 铭记
manifesto,宣言， 声明
salubrious,有益健康的
quench,扑灭， 熄灭； 解， 止
materialize,赋予形体， 使具体化； 出现
mores,习俗， 惯例
aerial,空中的， 空气的
indigenous,土产的， 本地的； 生来的， 固有的
rejuvenate,使变得年轻
avocational,副业的， 嗜好的
thrifty,节俭的
parody,拙劣的模仿； 滑稽模仿作品或表演
outlandish,古怪的
uneventful,平凡的； 平安无事的
underestimated,低估的
strenuous,奋发的； 热烈的
repetitive,重复的； 反复性的
lethargy,昏睡； 呆滞， 懒散
mistral,寒冷且干燥的强风
magenta,紫红色的。紫红色
precipitate,使突然降临， 加速， 促成。鲁莽的， 轻率的
mandate,命令， 训令
enigma,谜一样的人或事物
slog,猛击； 苦干
rile,惹恼， 激怒
meander,蜿蜒而流； 漫步
slot,狭槽
impassable,不能通行的， 无法通过的
garrulity,唠叨， 饶舌
short-sightedness,目光短浅； 近视
soulful,充满感情的， 深情的
cold-blooded,冷血的； 残酷的
hurtle,呼啸而过， 快速通过； 猛投， 用力投掷
reversible,可逆的， 可反转的
snitch,告密； 偷
talented,天才的
insipid,乏味的， 枯燥的
dictate,口述； 命令
fatidic,预言的
remiss,疏忽的， 不留心的
frumpy,邋遢的； 老式的， 过时的
prelude,序幕， 前奏
dyspeptic,消化不良的； 不高兴的
enrage,激怒， 触怒
gild,镀金； 虚饰
sprain,扭伤
ignoble,卑鄙的
cacophony,刺耳的声音
gestate,怀孕， 孕育； 构思
engage,从事， 参加； 雇用， 聘用； 使参与； 引起…的注意
adroit,熟练的， 灵巧的
whisper,耳语， 低语
frivolity,轻浮的行为
remainder,剩余物
clumsy,笨拙的； 拙劣的
spurious,假的； 伪造的
amendment,改正， 修正； 修正案
grovel,摇尾乞怜， 奴颜婢膝； 匍匐
collage,拼贴画
implore,哀求， 恳求
rehabilitate,使恢复
echo,回响， 回荡； 重复， 模仿。回声；反响；共鸣
birthright,与生俱来的权利
frolic,嬉戏。嬉戏；雀跃
bargain,讨价还价。交易；特价商品
nil,无， 零
ingrained,根深蒂固的
shamble,蹒跚而行， 踉跄地走
nip,小口啜饮
rind,外皮
implausible,难以置信的
flinch,畏缩， 退缩
iota,极少量， 极少
imminent,即将发生的， 逼近的
amaze,使大为吃惊， 使惊奇
congenital,先天的， 天生的
disinterested,公正的， 客观的
toss,投， 掷； 使摇动， 使颠簸
confound,使迷惑， 搞混
energize,给予…精力、 能量
dissipate,消失， 消散； 浪费
recount,叙述， 描写
pliable,易弯曲的， 柔软的； 易受影响的
rotten,腐烂的； 极坏的
mattress,床垫
scrumptious,很可口的， 美味的
versant,精通的。山坡； 斜坡
confidant,心腹朋友， 知己， 密友
encipher,译成密码
prodigious,巨大的； 惊人的， 奇异的
entwine,使缠绕， 交织
time-consuming,费时间的
commingle,掺和， 混合
leniency,宽厚， 仁慈
effervescence,冒泡； 活泼
splashy,容易溅开的； 炫耀显眼的
mournful,悲伤的
attribute,把…归于。属性， 特质
mechanism,结构， 机制
affliction,折磨， 痛苦； 痛苦的原因； 灾害
genetic,遗传的； 起源的
woolly,羊毛的； 模糊的
suffocate,窒息， 把…闷死
inculcate,谆谆教诲， 反复灌输
bliss,狂喜， 极乐； 福气， 天赐的福
riot,暴动， 闹事
arouse,唤醒； 激发
tout,招徕顾客； 极力赞扬
palpable,可触知的， 可察觉的； 明显的
expropriate,充公， 没收
boring,无趣的， 乏味的
irresolute,未决定的； 犹豫不决的
swerve,突然改变方向
antecedent,先行的。前事；祖先
slur,含糊不清地讲
didactic,教诲的； 说教的
drool,流口水； 胡说
boast,自夸。自夸
reiterate,重申， 反复地说
segment,部分
mulish,骡一样的， 执拗的
slue,旋转
slug,猛击， 拳击
cater,迎合； 提供饮食及服务
chameleon,变色龙， 蜥蜴； 善变之人
penance,自我惩罚
regress,倒退， 复归， 逆行
imprecation,诅咒
drone,嗡嗡地响；单调地说。单调的低音
glossary,词汇表； 难词表
flutter,拍翅 to move lightly and quickly)
surmise,推测， 猜测。推测， 猜测
ignorance,无知， 愚昧
germinate,发芽； 发展
hackneyed,陈腐的， 老一套的
despondent,失望的， 意气消沉的
trifle,微不足道的事物， 琐事
affluent,富有的， 丰富的
intrude,把强加于； 闯入
irradicable,无法根除的， 根深蒂固的
garble,曲解， 窜改
perfume,香味； 香水
redundant,累赘的， 多余的
gargoyle,滴水嘴； 面貌丑恶的人
usable,可用的； 好用的
mellifluous,柔美流畅的
proclivity,倾向
asinine,愚笨的
pinch,捏，掐。一撮， 少量
mischievous,淘气的； 有害的
conquer,以武力征服
gist,要点， 要旨
droop,低垂； 萎靡
pitiful,值得同情的， 可怜的
timely,适时的， 及时的
slurp,出声地吃或喝。啜食， 啜食声
innocence,无辜， 清白
subsidy,补助金
prohibitive,禁止的， 抑制的； 贵得买不起的
flair,天赋， 本领， 天资
modest,谦虚的， 谦逊的； 适度的
fireproof,耐火的， 防火的
rive,撕开， 分裂
conflagration,大火
formalized,形式化的， 正式的
disenchant,使不抱幻想， 使清醒
idealism,理想主义； 唯心主义
self-procession,自行列队
contention,争论； 论点
browbeat,欺辱； 吓唬
explicit,明白的， 清楚的； 不含糊的， 明确的
propriety,礼节； 适当， 得体
abash,使羞愧， 使尴尬
consequential,傲慢的， 自尊自大的
imbue,浸染， 浸透； 使充满， 灌输， 激发
abase,降低…的地位， 贬抑， 使卑下
utilize,利用， 使用
subside,下陷； 平息， 减退
prevail,战胜； 流行， 盛行
flake,使成薄片
implicit,含蓄的， 暗示的
explicitly,明白地； 明确地
futile,无效的， 无用的； 没出息的； 琐细的
subreption,隐瞒真相， 歪曲事实
reexamination,重考； 复试； 再检查
hardship,困苦， 拮据
acumen,敏锐， 精明
stubby,短粗的
dowdy,不整洁的， 过旧的
abate,减轻， 减少
droll,古怪的， 好笑的
wistful,惆怅的， 渴望的
eschew,避开， 戒绝
amass,积聚
venturesome,好冒险的； 冒险的
deign,惠允； 施惠于人
emblematic,作为象征的
superannuated,老迈的
attrition,摩擦， 磨损
shirk,逃避， 回避
tentative,试探性的， 尝试性的
temporize,拖延； 见风使舵
nasal,鼻的； 有鼻音的
heady,任性的； 鲁莽的
condole,同情， 哀悼
whet,磨快； 刺激
indefatigable,不知疲倦的
preside,担任主席； 负责； 指挥
offspring,〈总称〉后代； 儿女
whim,一时的兴致， 怪念头
whit,一点儿， 少量
bootless,无益处的； 无用的
contumacy,抗命， 不服从
overflow,溢出； 充满
proverbially,人皆尽知地
threaten,威胁
pharmacology,药理学， 药物学； 药理
rhetoric,修辞， 修辞学； 浮夸的言辞
pathological,病态的， 不理智的； 病理学的
recital,独奏会， 独唱会， 小型舞蹈表演会； 吟诵
respite,休息； 暂缓
tangle,缠结。纷乱
visible,可见的， 看得见的； 能注意到的； 明显的， 可察觉到的
prorogue,休会； 延期
intrigue,密谋； 引起…的兴趣
orient,上升的。确定方向； 使熟悉情况
irremediable,无法治愈的， 无法纠正的
recurring,反复的； 再次发生的
upswing,上升， 增长； 进步， 改进
dependable,可靠的， 可信赖的
unsurpassed,未被超越的
veer,转向， 改变
hysteria,歇斯底里症； 过度兴奋
keen,锋利的， 锐利的； 敏锐的， 灵敏的； 热心的
ingenuously,纯真地； 坦率地
indifferent,不感兴趣的， 漠不关心的
overhaul,彻底检查； 大修
solemn,严肃的； 庄严的， 隆重的； 黑色的
acute,灵敏的， 敏锐的； 剧烈的； 急性的
unsure,缺乏自信的； 不确定的
rocky,多岩石的； 坚若磐石的
strive,奋斗， 努力
wearisome,使人感到疲倦或厌倦的
scorching,灼热的
inert,惰性的； 呆滞的， 迟缓的
stipulation,规定， 约定
pertinacious,固执的， 坚决的； 坚持的
enzyme,酵素， 酶
sloppy,邋遢的， 粗心的
breach,打破，突破；违背。裂缝， 缺口
granule,小粒， 微粒
stimulus,刺激物， 激励
forswear,誓绝， 发誓放弃
terminal,末端的。终点， 末端
incommensurate,不成比例的， 不相称的
surpass,超过
aloof,远离的； 冷淡的， 冷漠的
gouge,挖出；敲竹杠。半圆凿
shiny,有光泽的； 发光的
succumb,屈从， 屈服； 因…死亡
disproportionate,不成比例的
unfold,展开， 打开； 逐渐呈现
hearten,鼓励， 激励
translucent,透明的
conciliatory,抚慰的， 调和的
arbitrate,仲裁， 公断 as an arbitrator)
plough,犁地。犁
brink,边沿， 边缘
equity,公平， 公正
acquiescent,默认的
corrugated,起皱纹的
aversion,厌恶， 反感
matriculate,录取
pitiless,无情的， 冷酷的， 无同情心的
perch,栖息
allusive,暗指的， 间接提到的
rejoinder,回答
saucy,粗鲁的； 俏皮的； 漂亮的
escapism,逃避现实
snappish,脾气暴躁的
carve,雕刻； 切成片
veil,以面纱掩盖。面纱；遮蔽物
hierarchy,阶层； 等级制度
uncanny,神秘的， 离奇的
huffish,不高兴的， 发怒的； 傲慢的
canyon,峡谷
impenetrable,不能穿透的； 不可理解的
presuppose,预先假定； 以…为先决条件
apocryphal,假冒的， 虚假的
briny,盐水的， 咸的
exacerbate,使加重， 使恶化
upstart,突然升官的人， 暴发户
heterodox,异端的， 非正统的
verdure,葱郁， 青翠； 生机勃勃
anterior,较早的， 以前的
reluctance,勉强， 不情愿
recourse,求助， 依靠
extinction,消灭， 废除
relinquish,放弃， 让出
blasphemy,亵渎
sidestep,横跨一步躲避； 回避
trapeze,高空秋千， 吊架
irredeemable,无法挽回的， 不可救药的
alternate,轮流的， 交替的。轮流， 交替。候选人， 代替者
unbridgeable,不能架桥的， 不能逾越的
assuage,缓和， 减轻
survivor,幸存者
obligated,有义务的， 有责任的
repulsion,厌恶， 反感； 排斥力
emissary,密使， 特使
renascent,再生的， 复活的， 新生的
enchant,使陶醉； 施魔法于
decipher,破译； 解开
clarify,澄清
vent,发泄；开孔。孔， 口
insignia,徽章
betoken,预示， 表示
haunt,萦绕心头；经常去；常出没于。常去的地方
duplicity,欺骗， 口是心非
bristling,竖立的
residual,残余的， 剩余的。剩余，残余
recompense,报酬， 赔偿
murky,黑暗的， 昏暗的； 朦胧的
generosity,慷慨， 大方
acclimate,服水土； 适应
oxidize,氧化， 生锈
deduct,减去， 扣除； 演绎
pallid,苍白的， 没血色的
crabbed,暴躁的
fractional,微小的， 极少的， 微不足道的
douse,把…浸入水中； 熄灭
portray,描述； 描绘， 描画
fearsome,吓人的， 可怕的
ruddy,红润的， 红的
confrontation,对抗
comestible,可吃的。食物，食品
acolyte,助手， 侍僧
homogeneous,同类的， 相似的
collate,对照， 核对
outgrowth,结果； 副产品
condone,宽恕， 原谅
temptation,诱惑， 诱惑物
electromagnetic,电磁的
excrete,排泄， 分泌
burst,爆炸； 爆裂； 突然发生
lachrymose,爱哭的； 引人落泪的
debauch,使堕落，败坏。堕落
stickler,坚持细节之人
compelling,引起兴趣的
immodest,不谦虚的 ； 不正派的
clash,冲突， 撞击
overturn,翻倒 turn over or capsize)； 推翻， 倾覆(to cause the ruin or destruction of； overthrow)
antic,古怪的
modestly,谦虚地， 谦逊地； 适度地
incarcerate,把…关进监狱， 监禁， 禁闭
clasp,钩子， 扣子； 紧握
overture,前奏曲， 序曲
deduce,演绎， 推断
proverb,谚语
tangential,切线的； 离题的
gabble,急促而不清楚地说
dutiful,尽职的
impermanent,暂时的
rehearse,排练， 预演； 详述
pesticide,杀虫剂
evasive,回避的， 逃避的， 推脱的
epideictic,夸耀的
pottery,制陶； 制陶工艺； 陶器
dally,闲荡， 嬉戏
waylay,埋伏， 伏击
coagulate,使凝结
correspondent,符合的，一致的。记者， 通讯员
promotion,晋升； 促进
drab,黄褐色的； 单调的， 乏味的
straightforward,诚实的， 坦率的； 易懂的； 直接的
deprave,使堕落， 使恶化
unpretentious,不炫耀的
languish,衰弱， 憔悴
institutionalize,使制度化
transcribe,抄写， 转录
lunatic,极蠢的。疯子
perky,得意洋洋的； 活泼的
agony,极大的痛苦
capacious,容量大的， 宽敞的
vessel,血管； 容器； 船只
tensile,张力的； 可伸展的
ungrudging,慷慨的； 情愿的
discombobulated,扰乱的， 打乱的
peaky,消瘦的， 虚弱的
ointment,油膏， 软膏
frail,脆弱的； 不坚实的
cheeky,无礼的， 厚颜无耻的
ode,长诗， 颂歌
decree,颁布命令。命令，法令
execrate,憎恶； 咒骂
vintage,经典的； 最好的
evasion,躲避， 借口
pedestal,基座
promptness,敏捷， 迅速； 机敏
ornery,顽固的， 爱争吵的
solicitude,关怀， 牵挂
admonish,训诫； 警告
amplify,放大； 详述
delegate,委派…为代表， 授权。代表
suffragist,参政权扩大论者； 妇女政权论者
slump,大幅度下降； 暴跌
peril,危险
modernize,使现代化)
veto,否决， 禁止； 否决权
exuberant,充满活力的； 茂盛的 produced in extreme abundance)
nonentity,无足轻重的人或事
vest,授予， 赋予
obnoxious,令人极不愉快的， 可憎的
penitent,悔过的， 忏悔的
verbose,冗长的， ■嗦的
predilection,偏爱， 嗜好
seriousness,认真， 严肃； 严重性， 严峻
terminus,终点站
idolize,将…当作偶像崇拜； 极度仰慕， 崇拜
compensate,补偿， 赔偿
domination,控制， 支配， 管辖
tightfisted,吝啬的
prodigal,挥霍的。挥霍者
bribe,贿赂
coax,哄诱， 巧言诱哄
nutritious,有营养的， 滋养的
marshal,整理， 安排， 排列
claim,要求或索要。声称拥有的权利
relentless,无情的， 残酷的
antique,古时的，古老的。古物， 古董
jarring,声音刺耳的
chronic,慢性的， 长期的
morose,郁闷的
toxic,有毒的， 中毒的
boggle,犹豫； 退缩
purified,纯净的
hurdle,克服。跨栏；障碍
clench,握紧； 咬紧
digress,离题
doctrinaire,教条的， 迂腐的。教条主义者
unfertilized,未施肥的； 未受精的
schematic,纲要的， 图解的
wrench,猛扭。扳钳， 扳手
expand,扩大， 膨胀
squander,浪费， 挥霍
retrieve,寻回， 取回； 挽回
malice,恶意， 怨恨
arcane,神秘的， 秘密的
rebroadcast,重播
codify,编成法典， 编辑成书
dorsal,背部的， 背脊的
congruity,一致性， 适合性； 共同点
code,将某事物编写成密码。密码；法典
passionate,充满激情的
hammer,锤击， 锤打。锤子，槌
egoistical,自我中心的， 自私自利的
coda,乐曲结尾部
incompetent,无能力的， 不胜任的
underdeveloped,不发达的
investigate,调查
swindle,诈骗
eerie,可怕的， 怪异的
sultry,闷热的； 风骚的
considerable,相当多的； 重要的； 值得考虑的
toxin,毒素， 毒质
